episode_number,success_episode,failure_episode,episode_reward,episode_step,ego_safety_score,social_safety_score,timelapse
1,False,True,-260,38,1.0,1.0,4.82741117477417
2,False,True,-263,39,1.0,0.7948717948717949,4.650017023086548
3,False,True,-255,35,1.0,1.0,4.372354984283447
4,False,True,-250,33,1.0,1.0,4.5791709423065186
1,False,True,-264,42,1.0,0.6666666666666667,5.278511047363281
2,False,True,-259,38,1.0,1.0,4.667923927307129
3,False,True,-251,34,1.0,0.8823529411764706,4.118214130401611
4,False,True,-252,32,1.0,1.0,4.37900710105896
5,False,True,-371,180,1.0,0.9611111111111111,20.546825170516968
6,False,True,-434,235,1.0,0.9744680851063829,34.66037106513977
7,False,True,-339,140,0.9928571428571429,0.85,20.391469955444336
8,False,True,-263,64,0.984375,0.90625,10.110575914382935
9,False,True,-337,137,1.0,0.9708029197080292,21.527487993240356
10,False,True,-244,45,0.9777777777777777,0.9555555555555556,6.769958972930908
11,False,True,-573,372,1.0,0.9811827956989247,49.944743156433105
12,False,True,-502,292,0.9931506849315068,0.976027397260274,35.55834889411926
13,False,True,-487,285,0.9964912280701754,0.9543859649122807,34.20650005340576
14,False,True,-636,428,0.9953271028037384,0.9485981308411215,53.2886860370636
15,False,True,-554,344,1.0,0.9331395348837209,46.35663914680481
16,False,True,-285,89,1.0,0.9550561797752809,10.179012060165405
17,False,True,-438,225,0.9911111111111112,0.96,27.869494915008545
18,False,True,-412,207,1.0,0.9855072463768116,25.03545904159546
19,False,True,-260,53,0.9622641509433962,0.9056603773584906,7.477313041687012
20,False,True,-393,184,1.0,0.9456521739130435,23.03551197052002
21,False,True,-669,463,1.0,0.9827213822894169,59.966209173202515
22,False,True,-467,259,1.0,0.9884169884169884,31.498691082000732
23,False,True,-408,208,0.9903846153846154,0.9134615384615384,26.57408595085144
24,False,True,-281,77,1.0,0.948051948051948,9.761800050735474
25,False,True,-349,146,0.9931506849315068,0.8904109589041096,17.39731502532959
26,False,True,-375,168,1.0,0.9642857142857143,21.250311136245728
27,False,True,-329,129,0.9922480620155039,0.9767441860465116,15.930583000183105
28,False,True,-391,185,1.0,0.9135135135135135,25.140557050704956
29,False,True,-280,79,1.0,0.9113924050632911,12.168591976165771
30,False,True,-341,146,1.0,0.952054794520548,21.554773092269897
31,False,True,-445,236,1.0,0.9661016949152542,36.40274095535278
32,False,True,-314,107,0.9813084112149533,0.9158878504672897,12.524566888809204
33,False,True,-401,186,0.989247311827957,0.8763440860215054,23.659432888031006
34,False,True,-285,91,1.0,0.8681318681318682,11.062077045440674
35,False,True,-326,126,1.0,1.0,14.991475105285645
36,False,True,-371,172,0.9941860465116279,0.9011627906976745,21.124439001083374
37,False,True,-512,304,1.0,0.9572368421052632,39.333516120910645
38,False,True,-413,217,1.0,0.8387096774193549,30.151827096939087
39,False,True,-276,75,1.0,0.8533333333333333,11.65563416481018
40,False,True,-274,79,0.9873417721518988,0.9746835443037974,10.443211078643799
41,False,True,-747,524,0.9980916030534351,0.9427480916030534,65.36390113830566
42,False,True,-292,92,1.0,0.8913043478260869,11.27075982093811
43,False,True,-1012,791,0.9987357774968394,0.9696586599241467,95.45569491386414
44,False,True,-540,329,0.9969604863221885,0.9331306990881459,40.37184810638428
45,False,True,-647,434,0.9976958525345622,0.9907834101382489,54.733969926834106
46,False,True,-541,334,0.9970059880239521,0.9221556886227544,43.42159700393677
47,False,True,-296,96,1.0,1.0,11.426077842712402
48,False,True,-295,97,0.9896907216494846,0.8762886597938144,15.913196086883545
49,False,True,-384,178,0.9831460674157303,0.8426966292134832,22.238114833831787
50,False,True,-506,301,1.0,0.9368770764119602,36.699509143829346
51,False,True,-414,214,0.9953271028037384,0.9813084112149533,25.13330888748169
52,False,True,-332,125,1.0,0.912,18.0420241355896
53,False,True,-1080,863,0.996523754345307,0.9466975666280417,108.76135396957397
54,False,True,-339,138,0.9927536231884058,0.9420289855072463,19.559391021728516
55,False,True,-341,142,0.9929577464788732,0.8380281690140845,21.115084886550903
56,False,True,-387,191,1.0,0.9581151832460733,31.48941397666931
57,False,True,-392,190,0.9947368421052631,0.968421052631579,25.876796007156372
58,False,True,-461,246,0.9959349593495935,0.943089430894309,32.0847909450531
59,False,True,-567,367,0.9945504087193461,0.9400544959128065,43.82936191558838
60,False,True,-676,479,0.9979123173277662,0.9436325678496869,58.37505602836609
61,False,True,-495,291,0.9828178694158075,0.9278350515463918,33.56253409385681
62,False,True,-487,286,0.9965034965034965,0.9755244755244755,34.3289577960968
63,False,True,-468,271,1.0,0.9261992619926199,39.15911507606506
64,False,True,-257,53,0.9811320754716981,0.9433962264150944,6.917140007019043
65,False,True,-329,128,0.9921875,0.9765625,19.71580696105957
66,False,True,-361,156,0.9807692307692307,0.8717948717948718,20.30532217025757
67,False,True,-456,253,1.0,0.9209486166007905,34.976304054260254
68,False,True,-274,71,0.9436619718309859,0.3943661971830986,9.605691909790039
69,False,True,-315,106,1.0,0.9622641509433962,12.625978946685791
70,False,True,-786,579,0.9965457685664939,0.927461139896373,70.69417810440063
71,False,True,-1203,986,1.0,0.9645030425963489,131.31821203231812
72,False,True,-285,88,1.0,0.8863636363636364,11.283458948135376
73,False,True,-697,481,1.0,0.9417879417879418,60.83120012283325
74,False,True,-308,110,1.0,0.8454545454545455,15.04012393951416
75,False,True,-655,436,0.9977064220183486,0.981651376146789,55.91219520568848
76,False,True,-456,251,1.0,0.9083665338645418,30.977116107940674
77,False,True,-411,206,1.0,0.9611650485436893,27.79729986190796
78,False,True,-303,98,1.0,0.8571428571428572,12.082811117172241
79,False,True,-442,246,0.9959349593495935,0.9146341463414634,33.455801010131836
80,False,True,-337,125,0.984,0.928,17.408293962478638
81,False,True,-381,170,0.9764705882352941,0.8588235294117648,21.547341108322144
82,False,True,-258,54,1.0,0.9259259259259259,7.061053991317749
83,False,True,-310,107,1.0,0.9626168224299065,15.73775315284729
84,False,True,-320,119,0.9915966386554622,0.9663865546218487,15.012782096862793
85,False,True,-484,269,1.0,0.9814126394052045,38.02705693244934
86,False,True,-917,691,0.9971056439942113,0.9768451519536903,88.21986389160156
87,False,True,-408,199,1.0,0.9748743718592965,26.002901792526245
88,False,True,-261,65,1.0,0.9076923076923077,10.386785984039307
89,False,True,-589,393,0.9949109414758269,0.8473282442748091,62.32474184036255
90,False,True,-719,509,0.9901768172888016,0.8762278978388998,61.793444871902466
91,False,True,-336,132,0.9848484848484849,0.9166666666666666,16.99589490890503
92,False,True,-546,331,1.0,0.9425981873111783,46.23787999153137
93,False,True,-466,262,1.0,0.9198473282442748,32.95545506477356
94,False,True,-758,561,0.9928698752228164,0.9358288770053476,74.58548092842102
95,False,True,-287,85,0.9882352941176471,0.9882352941176471,11.353970050811768
96,False,True,-339,134,1.0,0.9328358208955224,16.92011594772339
97,False,True,-405,207,0.9855072463768116,0.8309178743961353,24.38074493408203
98,False,True,-324,130,0.9923076923076923,0.8461538461538461,20.019007921218872
99,False,True,-700,486,0.9958847736625515,0.9444444444444444,69.91398501396179
100,False,True,-376,175,1.0,0.9028571428571428,24.390231132507324
101,False,True,-446,241,1.0,0.9087136929460581,31.35651993751526
102,False,True,-402,198,0.9949494949494949,0.9494949494949495,24.164571046829224
103,False,True,-324,118,0.9915254237288136,0.923728813559322,14.117461919784546
104,False,True,-333,132,0.9924242424242424,0.9621212121212122,16.48576593399048
105,False,True,-325,123,0.983739837398374,0.8048780487804879,16.626408100128174
106,False,True,-281,84,1.0,0.9761904761904762,9.90693211555481
107,False,True,-448,239,1.0,0.8828451882845189,30.418726921081543
108,False,True,-1099,862,0.9988399071925754,0.9373549883990719,114.75065588951111
109,False,True,-327,129,0.9922480620155039,0.9689922480620154,17.320559978485107
110,False,True,-419,209,0.9952153110047847,0.9617224880382775,28.260612964630127
111,False,True,-471,272,1.0,0.9485294117647058,40.375168800354004
112,False,True,-258,60,1.0,0.9166666666666666,9.15899395942688
113,False,True,-304,115,0.9826086956521739,0.9130434782608696,16.25527310371399
114,False,True,-363,165,0.9575757575757575,0.8424242424242424,19.57095694541931
115,False,True,-342,138,0.9927536231884058,0.9492753623188406,16.556443214416504
116,False,True,-262,57,0.9824561403508771,0.7017543859649122,7.074294805526733
117,False,True,-444,245,0.9959183673469387,0.9387755102040817,29.68791389465332
118,False,True,-783,564,0.99822695035461,0.9609929078014184,69.0774998664856
119,False,True,-524,320,0.99375,0.965625,39.59445381164551
120,False,True,-344,139,0.9928057553956835,0.8848920863309353,16.429599046707153
121,False,True,-303,99,1.0,0.8484848484848485,12.30486011505127
122,False,True,-274,75,0.9733333333333334,0.7866666666666666,9.66791820526123
123,False,True,-424,219,1.0,1.0,26.660903930664062
124,False,True,-410,208,1.0,0.9663461538461539,25.397802114486694
