episode_number,success_episode,failure_episode,episode_reward,episode_step
1,False,True,505,705
2,False,True,100,298
3,True,False,745,325
4,True,False,635,365
5,True,False,865,326
6,False,True,144,280
7,False,True,365,422
8,False,True,279,295
9,False,True,211,302
10,False,True,201,310
11,False,True,301,340
12,True,False,558,327
13,False,True,244,291
14,False,True,177,300
15,False,True,128,298
16,False,True,279,307
17,False,True,158,282
18,False,True,290,309
19,False,True,171,317
20,False,True,77,212
21,False,True,336,334
22,False,True,185,319
23,False,True,122,304
24,False,True,216,318
25,False,True,188,313
26,False,True,398,378
27,False,True,440,372
28,False,True,186,317
29,False,True,405,338
30,False,True,235,315
31,False,True,316,317
32,False,True,236,315
33,False,True,197,316
34,False,True,211,320
35,False,True,167,318
36,False,True,385,344
37,False,True,118,311
38,False,True,-82,153
39,False,True,105,317
40,False,True,216,310
41,False,True,165,305
42,False,True,105,312
43,False,True,574,395
44,False,True,474,360
45,False,True,133,296
46,False,True,204,318
47,True,False,1099,329
48,True,False,944,339
49,False,True,182,305
50,False,True,542,359
51,False,True,380,339
52,True,False,999,339
53,False,True,508,365
54,True,False,1076,349
55,False,True,84,305
56,False,True,200,316
57,False,True,352,227
58,False,True,479,345
59,True,False,1067,345
60,False,True,169,293
61,False,True,137,301
62,False,True,146,304
63,False,True,159,300
64,False,True,256,345
65,False,True,-25,193
66,False,True,114,300
67,False,True,259,322
68,False,True,293,316
69,False,True,150,312
70,False,True,74,300
71,False,True,44,333
72,False,True,143,363
73,False,True,162,318
74,False,True,247,503
75,False,True,121,438
76,False,True,135,324
77,False,True,322,467
78,False,True,307,445
79,False,True,244,451
80,False,True,451,536
81,False,True,337,622
82,False,True,75,236
83,False,True,152,395
84,False,True,257,390
85,False,True,173,384
86,False,True,193,405
87,False,True,198,375
88,False,True,315,503
89,False,True,259,456
90,False,True,225,456
91,False,True,268,443
92,False,True,305,467
93,False,True,259,406
94,False,True,292,461
95,False,True,-50,207
96,False,True,224,428
97,False,True,572,919
98,False,True,203,432
99,False,True,81,399
100,False,True,263,431
101,False,True,247,456
102,False,True,419,748
103,False,True,680,1000
104,False,True,1324,1000
105,False,True,1121,871
106,False,True,900,804
107,False,True,299,499
108,False,True,574,612
109,False,True,919,797
110,False,True,1452,1000
111,False,True,382,530
112,False,True,938,787
113,False,True,1720,1000
114,False,True,1223,1000
115,False,True,6,298
116,False,True,1308,1000
117,False,True,495,885
118,False,True,870,1000
119,False,True,957,1000
120,False,True,1265,1000
121,False,True,1272,1000
122,False,True,23,397
123,False,True,15,391
124,False,True,25,394
125,False,True,-2,361
126,False,True,10,371
127,False,True,23,397
128,False,True,0,370
129,False,True,28,408
130,False,True,38,406
131,False,True,93,456
132,False,True,98,541
133,False,True,58,434
134,False,True,49,420
135,False,True,14,408
136,False,True,669,726
137,False,True,1488,1000
138,False,True,1367,1000
139,False,True,319,820
140,False,True,132,460
141,False,True,36,393
142,False,True,1167,1000
143,False,True,1599,1000
144,False,True,1480,1000
145,False,True,1390,1000
146,False,True,1540,1000
147,False,True,1385,1000
148,False,True,1344,1000
149,False,True,1359,1000
150,False,True,1441,1000
151,False,True,1498,1000
152,False,True,1475,1000
153,False,True,1482,1000
154,False,True,1599,1000
155,False,True,1486,1000
156,False,True,1384,1000
157,False,True,1456,1000
158,False,True,1778,1000
159,False,True,1528,1000
160,False,True,1851,1000
161,False,True,1618,1000
162,False,True,468,547
163,False,True,1659,1000
164,False,True,1616,1000
165,False,True,1524,1000
166,False,True,1461,1000
167,False,True,1594,1000
168,False,True,1616,1000
169,False,True,1672,1000
170,False,True,1603,1000
171,False,True,1594,1000
172,False,True,1600,1000
173,False,True,1655,1000
174,False,True,1505,911
175,False,True,1594,1000
176,False,True,1546,1000
177,False,True,1519,1000
178,False,True,1200,841
179,False,True,1589,1000
180,False,True,1581,1000
181,False,True,1501,896
182,False,True,1458,1000
183,False,True,1545,1000
184,False,True,1546,1000
185,False,True,1629,1000
186,False,True,1533,1000
187,False,True,1857,1000
188,False,True,1537,1000
189,False,True,1406,1000
190,False,True,1312,947
191,False,True,1634,1000
192,False,True,1614,1000
193,False,True,1656,1000
194,False,True,652,632
195,False,True,870,714
196,False,True,1668,1000
197,False,True,1567,1000
198,False,True,1540,1000
199,False,True,1527,1000
200,False,True,1542,1000
201,False,True,1654,1000
202,False,True,1741,1000
203,False,True,1498,1000
204,False,True,1590,1000
205,False,True,1516,1000
206,False,True,1682,1000
207,False,True,1506,970
208,False,True,1397,1000
209,True,False,1440,571
210,False,True,1625,1000
211,False,True,1204,1000
212,False,True,1608,1000
213,False,True,1534,1000
214,False,True,1668,1000
215,False,True,1470,1000
216,False,True,1601,1000
217,False,True,1330,1000
218,False,True,917,1000
219,False,True,1405,1000
220,False,True,110,340
221,False,True,1612,1000
222,False,True,1449,1000
223,False,True,1068,1000
224,False,True,1197,1000
225,False,True,1133,1000
226,False,True,960,1000
227,False,True,1200,1000
228,False,True,997,1000
229,False,True,1311,1000
230,False,True,785,1000
231,False,True,874,1000
232,False,True,857,1000
233,False,True,822,1000
234,False,True,1295,1000
235,False,True,1312,1000
236,False,True,460,629
237,False,True,896,1000
238,False,True,1284,1000
239,False,True,1368,1000
240,False,True,876,1000
241,False,True,844,1000
242,False,True,786,1000
243,False,True,530,1000
244,False,True,941,1000
245,False,True,565,1000
246,False,True,623,1000
