episode_number,success_episode,failure_episode,episode_reward,episode_step
1,True,False,-393,506
2,False,True,-889,541
3,False,True,-1195,740
4,False,True,-3284,2347
5,False,True,-3002,2114
6,False,True,-2470,1715
7,True,False,-1261,1186
8,False,True,-402,178
9,True,False,-163,318
10,False,True,-432,177
11,False,True,-375,147
12,False,True,-439,179
13,False,True,-768,401
14,False,True,-478,173
15,False,True,-394,129
16,False,True,-341,91
17,False,True,-433,149
18,False,True,-417,152
19,False,True,-387,116
20,False,True,-410,133
21,False,True,-353,96
22,False,True,-693,388
23,False,True,-376,144
24,False,True,-353,138
25,False,True,-444,203
26,False,True,-688,318
27,False,True,-749,399
28,False,True,-520,238
29,False,True,-471,184
30,True,False,-38,228
31,True,False,-34,233
32,False,True,-317,115
33,False,True,-297,94
34,False,True,-300,104
35,False,True,-299,96
36,True,False,9,212
37,False,True,-319,116
38,False,True,-306,110
39,True,False,38,186
40,True,False,-37,235
41,True,False,-59,252
42,True,False,11,200
43,True,False,14,209
44,True,False,-56,244
45,True,False,-63,252
46,True,False,-1,210
47,True,False,-101,272
48,False,True,-845,536
49,True,False,-49,241
50,True,False,-245,400
51,True,False,-57,249
52,True,False,3,210
53,True,False,-80,269
54,True,False,-96,278
55,True,False,-27,227
56,True,False,26,196
57,True,False,-37,244
58,True,False,-75,262
59,True,False,-26,219
60,True,False,-29,238
61,True,False,-16,228
62,False,True,-328,117
63,False,True,-289,92
64,True,False,-31,230
65,True,False,3,202
66,True,False,50,193
67,False,True,-293,95
68,True,False,-8,217
69,True,False,27,186
70,True,False,11,205
71,True,False,16,208
72,True,False,-2,222
73,True,False,-32,236
74,True,False,16,199
75,False,True,-335,130
76,False,True,-303,112
77,True,False,-16,225
78,False,True,-289,97
79,False,True,-295,96
80,False,True,-335,121
81,False,True,-357,127
82,False,True,-342,127
83,False,True,-363,144
84,False,True,-302,93
85,True,False,50,184
86,False,True,-308,104
87,False,True,-332,120
88,False,True,-473,233
89,False,True,-433,168
90,True,False,-26,242
91,False,True,-729,387
92,False,True,-316,104
93,True,False,0,212
94,False,True,-309,101
95,False,True,-333,120
96,False,True,-448,204
97,True,False,10,209
98,True,False,-21,227
99,False,True,-273,82
100,False,True,-320,110
101,True,False,-28,232
102,False,True,-303,92
103,False,True,-324,123
104,False,True,-319,112
105,True,False,-3,221
106,True,False,7,215
107,True,False,-26,224
108,False,True,-288,87
109,True,False,-37,236
110,True,False,-19,223
111,True,False,-58,247
112,True,False,-64,258
113,True,False,-48,251
114,True,False,-3,213
115,False,True,-310,115
116,True,False,-25,221
117,False,True,-315,117
118,True,False,-43,235
119,False,True,-315,108
120,True,False,-20,219
121,True,False,-60,250
122,True,False,-40,244
123,True,False,-7,218
124,True,False,-43,247
125,True,False,36,195
126,True,False,-16,223
127,True,False,31,203
128,True,False,-69,249
129,True,False,-24,230
130,True,False,2,204
131,True,False,-51,244
132,True,False,-2,216
133,True,False,-44,239
134,True,False,-39,243
135,True,False,-98,274
136,True,False,70,158
137,True,False,-20,228
138,True,False,-1,222
139,True,False,-59,245
140,True,False,-81,264
141,True,False,-14,225
142,True,False,-4,216
143,True,False,-48,248
144,True,False,-33,226
145,True,False,-69,259
146,True,False,-26,237
147,True,False,-43,230
148,True,False,-125,284
149,True,False,-43,242
150,True,False,-158,303
151,True,False,-10,212
152,True,False,-85,262
153,True,False,-190,328
