episode_number,success_episode,failure_episode,episode_reward,episode_step
1,False,True,-682,310
2,False,True,-1718,1095
3,True,False,-37,238
4,False,True,-658,244
5,False,True,-491,127
6,False,True,-448,138
7,False,True,-471,142
8,False,True,-475,140
9,False,True,-459,127
10,False,True,-457,109
11,False,True,-448,127
12,False,True,-479,145
13,False,True,-377,87
14,False,True,-413,110
15,False,True,-396,100
16,False,True,-446,131
17,False,True,-458,142
18,False,True,-425,106
19,False,True,-404,102
20,False,True,-474,127
21,False,True,-1395,856
22,False,True,-1331,779
23,False,True,-1181,659
24,False,True,-1023,506
25,False,True,-842,385
26,False,True,-669,239
27,False,True,-2179,1403
28,False,True,-4387,3136
29,False,True,-5513,4080
30,False,True,-7149,5405
31,False,True,-3227,2220
32,False,True,-4837,3492
33,False,True,-4436,3179
34,False,True,-510,133
35,False,True,-533,145
36,False,True,-782,366
37,False,True,-530,149
38,False,True,-510,135
39,False,True,-488,121
40,False,True,-468,112
41,False,True,-604,202
42,False,True,-874,421
43,False,True,-454,100
44,False,True,-495,141
45,False,True,-517,143
46,False,True,-471,114
47,False,True,-1627,1014
48,False,True,-1781,1147
49,False,True,-564,191
50,False,True,-510,147
51,False,True,-890,455
52,False,True,-1294,744
53,False,True,-809,375
54,False,True,-674,268
55,False,True,-476,130
56,False,True,-434,92
57,False,True,-498,149
58,False,True,-467,145
59,False,True,-456,102
60,False,True,-501,153
61,False,True,-591,236
62,False,True,-1059,548
63,False,True,-533,176
64,False,True,-499,143
65,False,True,-507,130
66,False,True,-523,156
67,False,True,-594,204
68,False,True,-425,106
69,False,True,-653,270
70,False,True,-430,117
71,False,True,-524,180
72,False,True,-439,130
73,False,True,-400,102
74,False,True,-453,129
75,False,True,-467,143
76,False,True,-553,207
77,False,True,-1684,1067
78,False,True,-472,124
79,False,True,-544,180
80,False,True,-563,201
81,False,True,-453,127
82,False,True,-437,110
83,False,True,-690,324
84,False,True,-1255,727
85,False,True,-402,96
86,False,True,-542,185
87,False,True,-2265,1542
88,False,True,-564,207
89,False,True,-533,180
90,False,True,-600,200
91,False,True,-485,118
92,True,False,-308,430
93,False,True,-1258,761
94,False,True,-767,385
95,False,True,-614,327
96,False,True,-499,176
97,True,False,-951,963
