episode_number,success_episode,failure_episode,episode_reward,episode_step
1,False,True,-2510,1711
2,False,True,-3563,2500
3,False,True,-8391,6172
4,False,True,-5745,4226
5,False,True,-4019,2908
6,False,True,-3901,2768
7,False,True,-2812,1920
8,False,True,-2263,1481
9,False,True,-2789,1811
10,False,True,-5875,4275
11,False,True,-933,416
12,False,True,-794,350
13,False,True,-756,249
14,False,True,-686,255
15,False,True,-680,167
16,False,True,-800,311
17,False,True,-663,210
18,False,True,-593,229
19,False,True,-886,473
20,False,True,-637,153
21,False,True,-624,147
22,False,True,-529,104
23,False,True,-2415,1608
24,True,False,-1571,1463
25,False,True,-580,124
26,True,False,-800,873
27,True,False,-482,679
28,False,True,-472,146
29,False,True,-843,373
30,False,True,-552,114
31,False,True,-996,412
32,False,True,-1264,604
33,False,True,-846,290
34,False,True,-849,276
35,False,True,-647,162
36,False,True,-1085,533
37,False,True,-961,353
38,False,True,-488,116
39,False,True,-1179,517
40,False,True,-826,378
41,False,True,-1831,995
42,False,True,-587,118
43,False,True,-1609,860
44,False,True,-849,272
45,False,True,-1141,480
46,False,True,-868,307
47,False,True,-956,377
48,False,True,-813,366
49,False,True,-805,362
50,False,True,-868,368
51,False,True,-865,284
52,False,True,-764,229
53,False,True,-615,159
54,False,True,-802,263
55,False,True,-953,472
56,False,True,-909,342
57,False,True,-624,204
58,False,True,-766,225
59,False,True,-513,144
60,False,True,-774,255
61,False,True,-975,361
62,False,True,-584,232
63,False,True,-491,80
64,False,True,-517,98
65,False,True,-504,91
66,False,True,-761,278
67,False,True,-556,133
68,False,True,-726,237
69,False,True,-861,347
70,False,True,-514,83
71,False,True,-880,437
72,False,True,-573,138
73,False,True,-498,92
74,False,True,-541,112
75,False,True,-545,122
76,False,True,-494,80
77,False,True,-543,124
78,False,True,-591,149
79,False,True,-513,96
80,False,True,-575,143
81,False,True,-526,105
82,False,True,-527,104
83,False,True,-636,251
84,False,True,-669,279
85,False,True,-431,110
86,False,True,-537,115
87,False,True,-540,120
88,False,True,-502,88
89,False,True,-517,98
90,False,True,-496,87
91,False,True,-491,135
92,False,True,-697,293
93,False,True,-716,322
94,False,True,-571,136
95,False,True,-648,190
96,False,True,-745,217
97,False,True,-844,424
98,False,True,-495,85
99,False,True,-529,106
100,False,True,-501,93
101,False,True,-513,99
102,True,False,66,302
103,False,True,-546,124
104,False,True,-429,114
105,False,True,-488,83
106,True,False,-124,376
107,False,True,-492,86
108,False,True,-563,134
109,False,True,-558,130
110,False,True,-497,81
111,False,True,-512,94
112,False,True,-448,132
113,False,True,-544,127
114,False,True,-484,71
115,False,True,-484,73
116,False,True,-554,124
117,False,True,-503,88
118,True,False,-156,385
119,False,True,-394,82
120,False,True,-539,114
121,False,True,-542,120
122,False,True,-658,298
123,False,True,-726,319
124,False,True,-487,76
125,False,True,-518,105
126,False,True,-501,88
127,False,True,-509,91
128,False,True,-514,100
129,False,True,-521,100
130,False,True,-494,89
131,False,True,-538,110
132,False,True,-744,353
133,False,True,-507,95
134,True,False,-44,306
135,False,True,-556,126
136,False,True,-413,101
137,False,True,-490,74
138,False,True,-531,111
139,False,True,-549,120
140,False,True,-496,82
141,False,True,-560,126
142,False,True,-541,113
143,False,True,-446,106
144,False,True,-408,91
145,False,True,-542,111
146,False,True,-408,92
147,False,True,-570,132
148,False,True,-634,184
149,False,True,-581,218
150,False,True,-513,276
151,False,True,-543,207
152,False,True,-762,328
153,False,True,-700,224
154,False,True,-645,292
155,False,True,-638,185
156,False,True,-707,310
157,False,True,-613,272
158,False,True,-621,170
159,False,True,-468,151
160,False,True,-459,154
161,False,True,-508,169
162,False,True,-474,162
163,False,True,-691,306
164,False,True,-445,139
165,False,True,-525,198
166,False,True,-686,317
167,False,True,-478,165
168,False,True,-609,273
169,False,True,-581,225
170,False,True,-595,151
171,True,False,-70,384
172,True,False,-84,395
173,False,True,-736,348
174,False,True,-506,182
175,False,True,-842,348
176,True,False,-126,366
177,True,False,92,281
178,False,True,-718,331
179,False,True,-674,306
180,True,False,-17,343
181,False,True,-526,189
182,False,True,-457,145
183,False,True,-598,165
184,False,True,-546,211
185,False,True,-463,245
186,False,True,-756,352
187,False,True,-731,350
188,False,True,-575,247
189,False,True,-595,160
190,False,True,-617,263
191,False,True,-454,144
192,False,True,-862,447
193,True,False,-114,364
194,False,True,-839,355
195,False,True,-505,181
196,True,False,-21,368
197,True,False,-45,371
198,True,False,-150,370
199,True,False,93,286
200,False,True,-509,277
201,False,True,-797,329
202,True,False,98,285
203,True,False,-117,351
204,False,True,-626,283
205,True,False,-35,365
206,True,False,105,283
207,True,False,70,294
208,True,False,33,323
209,True,False,66,297
210,True,False,85,285
211,True,False,103,267
212,True,False,-151,387
213,True,False,-34,299
214,True,False,89,282
215,True,False,100,282
216,True,False,13,336
217,True,False,84,287
218,True,False,73,295
219,True,False,160,228
220,True,False,64,306
221,True,False,108,276
222,True,False,110,274
223,True,False,-3,282
224,True,False,86,291
