episode_number,success_episode,failure_episode,episode_reward,episode_step
1,False,True,-596,138
2,False,True,-2104,1101
1,False,True,-637,143
1,False,True,-421,61
1,False,True,-3999,1857
2,False,True,-485,94
1,False,True,-449,77
1,False,True,-427,65
1,False,True,-667,127
1,False,True,-421,1
1,False,True,-394,48
2,False,True,-354,28
3,False,True,-322,12
4,False,True,-465,84
1,False,True,-507,104
1,False,True,-484,93
1,False,True,-528,56
1,False,True,-373,37
1,False,True,-1096,401
2,False,True,-342,22
3,False,True,-494,98
4,False,True,-540,121
5,False,True,-527,114
1,False,True,-20202,10000
1,False,True,-3303,1633
1,False,True,-1934,857
1,False,True,-1524,639
1,False,True,-1464,619
1,False,True,-20285,10000
1,False,True,-1766,764
1,False,True,-524,125
1,False,True,-747,184
1,False,True,-1118,361
1,False,True,-585,96
1,False,True,-434,81
1,False,True,-581,95
1,False,True,-640,123
1,False,True,-497,112
1,False,True,-482,105
1,False,True,-1233,432
1,False,True,-746,250
1,False,True,-1244,442
1,False,True,-831,297
1,False,True,-795,280
2,False,True,-855,312
1,False,True,-772,266
1,False,True,-785,274
1,False,True,-785,274
1,False,True,-786,274
2,False,True,-813,288
1,False,True,-774,265
1,False,True,-744,251
1,False,True,-877,257
1,False,True,-976,312
1,False,True,-903,272
1,False,True,-803,284
1,False,True,-784,273
1,False,True,-796,279
1,False,True,-850,309
1,False,True,-767,264
1,False,True,-855,311
1,False,True,-780,274
1,False,True,-620,160
2,False,True,-1037,369
1,False,True,-1009,355
1,False,True,-832,231
2,False,True,-723,192
1,False,True,-20265,10000
2,False,True,-20297,10000
1,False,True,-556,186
1,False,True,-23630.29252039494,363
2,False,True,-48879.99178860893,756
1,False,True,-739,430
1,False,True,-463,131
2,False,True,-464,131
1,False,True,-505,196
1,False,True,-345,45
1,False,True,-466,47
1,False,True,-423,62
1,False,True,-536,59
1,False,True,-391,80
2,False,True,-457,37
1,False,True,-555,101
1,False,True,-558,106
1,False,True,-889,377
1,False,True,-447,112
1,False,True,-551,99
1,False,True,-448,109
1,False,True,-442,106
1,False,True,-454,113
1,False,True,-462,118
2,False,True,-466,123
1,False,True,-474,125
1,False,True,-448,108
1,False,True,-556,189
2,False,True,-422,96
1,False,True,-461,120
2,False,True,-433,102
1,False,True,-440,103
1,False,True,-432,101
1,False,True,-434,100
1,False,True,-431,99
2,False,True,-433,100
1,False,True,-621,145
1,False,True,-460,118
2,False,True,-454,115
1,False,True,-894,319
1,False,True,-331,32
2,False,True,-447,28
1,False,True,-330,30
2,False,True,-329,30
1,False,True,-367,61
1,False,True,-413,103
2,False,True,-413,99
3,False,True,-409,95
4,False,True,-408,93
5,False,True,-424,106
6,False,True,-424,111
7,False,True,-404,88
8,False,True,-406,91
1,False,True,-361,56
1,False,True,-405,92
1,False,True,-406,90
1,False,True,-369,64
1,False,True,-406,92
1,False,True,-467,48
1,False,True,-458,39
1,False,True,-411,97
1,False,True,-399,86
1,False,True,-470,51
1,False,True,-367,62
2,False,True,-373,70
1,False,True,-407,91
1,False,True,-401,88
2,False,True,-397,84
1,False,True,-408,94
1,False,True,-402,87
1,False,True,-397,84
1,False,True,-413,97
1,False,True,-529,95
1,False,True,-461,41
1,False,True,-452,33
1,False,True,-457,37
2,False,True,-456,37
1,False,True,-455,35
2,False,True,-423,106
1,False,True,-423,107
1,False,True,-400,85
2,False,True,-404,80
3,False,True,-487,67
1,False,True,-465,46
2,False,True,-481,62
3,False,True,-473,53
1,False,True,-487,67
2,False,True,-462,43
3,False,True,-403,90
4,False,True,-401,88
5,False,True,-403,89
1,False,True,-496,75
1,False,True,-382,81
1,False,True,-586,142
1,False,True,-470,50
1,False,True,-476,57
2,False,True,-495,75
3,False,True,-466,47
4,False,True,-466,47
