episode_number,success_episode,failure_episode,episode_reward,episode_step,ego_safety_score,social_safety_score,timelapse
1,False,True,-242,29,1.0,1.0,5.9397759437561035
2,False,True,-215,31,1.0,1.0,5.783027172088623
3,True,False,164,66,0.9696969696969697,0.9393939393939394,13.00534701347351
4,False,True,-637,443,1.0,0.9729119638826185,90.68074107170105
5,False,True,-444,253,0.9881422924901185,0.9288537549407114,51.97866702079773
6,False,True,-284,84,1.0,0.9642857142857143,17.11634397506714
7,False,True,-1187,1000,1.0,0.975,178.28141593933105
8,False,True,-391,189,0.9894179894179894,0.9153439153439153,33.159355878829956
9,False,True,-415,212,0.9952830188679245,0.9575471698113207,36.20637893676758
10,False,True,-308,107,1.0,0.9719626168224299,18.28426480293274
11,False,True,-354,151,0.9933774834437086,0.9801324503311258,26.2050461769104
12,False,True,-689,486,0.9979423868312757,0.9917695473251029,83.94550395011902
13,False,True,-297,92,0.9782608695652174,1.0,15.410606145858765
14,False,True,-842,635,0.9984251968503937,0.988976377952756,111.42524909973145
15,False,True,-457,261,0.9885057471264368,0.9846743295019157,44.58741903305054
16,False,True,-295,95,0.9894736842105263,0.9263157894736842,16.851348876953125
17,False,True,-355,151,0.9801324503311258,0.9536423841059603,26.205239057540894
18,False,True,-377,177,0.9943502824858758,0.9661016949152542,31.49366807937622
19,False,True,-331,132,0.9848484848484849,0.9318181818181819,24.75381302833557
20,False,True,-276,73,0.9863013698630136,0.9863013698630136,13.171544075012207
21,False,True,-342,140,0.9785714285714285,0.9857142857142858,24.12541103363037
22,False,True,-413,219,0.995433789954338,0.9908675799086758,37.86003494262695
23,False,True,-461,261,1.0,0.946360153256705,46.83920383453369
24,False,True,-279,75,0.9866666666666667,0.9866666666666667,13.868592023849487
25,False,True,-359,156,0.9935897435897436,0.967948717948718,28.2596378326416
26,False,True,-448,251,0.9920318725099602,0.9322709163346614,44.847407817840576
27,False,True,-529,331,0.9969788519637462,0.9577039274924471,59.50869607925415
28,False,True,-282,80,0.9625,0.9625,13.913434982299805
29,False,True,-282,83,0.9879518072289156,0.9036144578313253,15.449341058731079
30,False,True,-663,459,0.9956427015250545,0.9912854030501089,79.68821096420288
31,False,True,-518,318,0.9968553459119497,0.9779874213836478,55.608091831207275
32,False,True,-564,352,0.9943181818181818,0.9375,62.172903060913086
33,False,True,-338,139,0.9784172661870504,0.9496402877697842,24.42859697341919
34,False,True,-630,421,1.0,0.9691211401425178,73.3769428730011
35,False,True,-391,185,0.9891891891891892,0.972972972972973,33.101008892059326
36,False,True,-396,190,0.9894736842105263,0.9789473684210527,32.499480962753296
37,False,True,-286,86,0.9883720930232558,0.9418604651162791,15.606786012649536
38,False,True,-353,156,0.9935897435897436,0.9871794871794872,26.582414150238037
39,False,True,-418,226,1.0,0.9911504424778761,38.69654202461243
40,False,True,-411,201,0.9950248756218906,0.9651741293532339,36.22433590888977
41,False,True,-368,167,0.9940119760479041,0.9700598802395209,28.836912155151367
42,False,True,-582,379,0.9973614775725593,1.0,64.97616696357727
43,False,True,-401,204,0.9803921568627451,0.9411764705882353,35.637616872787476
44,False,True,-399,195,0.9948717948717949,0.9179487179487179,34.53147792816162
45,False,True,-419,228,0.9912280701754386,0.9517543859649122,39.72610402107239
46,False,True,-685,475,0.9936842105263158,0.9536842105263158,83.94532418251038
47,False,True,-390,195,0.9948717948717949,0.9538461538461538,34.069007873535156
48,False,True,-411,205,0.9804878048780488,0.975609756097561,36.459725856781006
49,False,True,-605,406,0.9950738916256158,0.9876847290640394,69.45188498497009
50,False,True,-369,173,0.9710982658959537,0.9595375722543352,30.837148904800415
51,False,True,-444,236,0.9957627118644068,0.9576271186440678,42.53696393966675
52,False,True,-331,140,0.9785714285714285,0.95,24.71510910987854
53,False,True,-411,207,1.0,0.9855072463768116,35.67151093482971
54,False,True,-793,592,0.9983108108108109,0.9831081081081081,103.65650415420532
55,False,True,-392,185,0.9675675675675676,0.9081081081081082,33.32390999794006
56,False,True,-361,155,0.9612903225806452,0.8580645161290322,29.230555057525635
57,False,True,-352,147,1.0,0.9863945578231292,26.40897512435913
58,False,True,-450,252,0.9920634920634921,0.9444444444444444,43.61566710472107
59,False,True,-234,23,1.0,1.0,4.4412291049957275
60,False,True,-508,297,0.9966329966329966,0.98989898989899,51.137497901916504
61,False,True,-535,336,0.9880952380952381,0.9613095238095238,59.83786702156067
62,False,True,-282,85,0.9882352941176471,1.0,14.877671003341675
63,False,True,-311,95,1.0,0.9789473684210527,16.716283082962036
64,False,True,-426,217,1.0,0.9493087557603687,38.9704430103302
65,False,True,-285,76,1.0,0.9473684210526316,13.613204002380371
66,False,True,-284,70,0.9714285714285714,0.9857142857142858,12.000012874603271
67,False,True,-482,282,0.9964539007092199,0.9539007092198581,50.47252106666565
68,False,True,-251,58,0.9827586206896551,0.9482758620689655,10.660356998443604
69,False,True,-340,132,0.9924242424242424,0.9318181818181819,22.84754490852356
70,False,True,-393,190,0.9842105263157894,0.968421052631579,32.66180896759033
71,False,True,-435,229,0.9781659388646288,0.9606986899563319,40.80535292625427
72,False,True,-403,209,0.9904306220095693,0.9808612440191388,35.72880220413208
73,False,True,-285,85,0.9764705882352941,0.9294117647058824,16.339155912399292
74,False,True,-249,41,0.9512195121951219,0.975609756097561,7.140311002731323
